Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Tacoma Stars vs. Harrisburg Heat,3/1/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tommy Emmanuel,3/1/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Facades,2/1/2024 through 3/2/2024 |  Harris Harvey Gallery,Harris Harvey Gallery,Harris Harvey Gallery,Harris Harvey Gallery,Not Available,Not Available,Weather data not available
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Crypta,3/2/2024 |  El Corazon,El Corazon,El Corazon,El Corazon,-5.2464353,-78.9699948,Weather data not available
Seattle Kraken vs. Edmonton Oilers,3/2/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Sounders FC vs. Austin FC,3/2/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Emerald City Comic Con,2/29/2024 through 3/3/2024 |  Seattle Convention Center,Seattle Convention Center,Seattle Convention Center,Seattle Convention Center,47.61175385,-122.33156275066185,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Briscoe,3/3/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern,47.6657081,-122.38280295082915,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Tacoma Stars vs. Harrisburg Heat,3/3/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Atlus,3/7/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Calidore Quartet & Abeo Quartet,3/8/2024 |  415 Westlake,415 Westlake,415 Westlake,415 Westlake,47.622554,-122.3386578,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Holding / Movement,3/8/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Winnipeg Jets,3/8/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Bach St. John Passion,3/7/2024 through 3/9/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Ariel Pink,3/9/2024 |  El Corazon,El Corazon,El Corazon,El Corazon,-5.2464353,-78.9699948,Weather data not available
Helene Grimaud,3/9/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
Josiah and the Bonnevilles,3/9/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
Mahan Esfahan,3/9/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Positive Fragmentation,Now through 3/10/2024 |  Bellevue Arts Museum,Bellevue Arts Museum,Bellevue Arts Museum,Bellevue Arts Museum,-21.266983,55.4113864,Weather data not available
Antonio M. Gomez: LINEAJES,Now through 3/10/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum,47.60719095,-122.32405377084555,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Soren Solkaer: Sort Sol,Now through 3/10/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum,47.6683615,-122.39177949359151,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Luchadora!,2/22/2024 through 3/10/2024 |  Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre,47.6204553,-122.35225726215312,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Vegas Golden Knights,3/12/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Washington Capitals,3/14/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Autoheart,3/15/2024 |  El Corazon,El Corazon,El Corazon,El Corazon,-5.2464353,-78.9699948,Weather data not available
The Snuts,3/15/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024 |  Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Meany Center for the Performing Arts,Not Available,Not Available,Weather data not available
Sibelius & Nielsen,3/14/2024 through 3/16/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Nashville Predators,3/16/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Sounders FC vs. Colorado Rapids,3/16/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Native Portraiture: Power and Perception,Now through 3/17/2024 |  Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,47.2475134,-122.43680521780016,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 54. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Places to Call Home: Settlements in the West,Now through 3/17/2024 |  Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,Tacoma Art Museum,47.2475134,-122.43680521780016,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 54. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Nobody Lives Here,Now through 3/17/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,47.5982461,-122.3228705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Rootabaga Country,3/8/2024 through 3/17/2024 |  Opera Center,Opera Center,Opera Center,Opera Center,44.43358325,26.079138268508792,Weather data not available
Seattle Kraken vs. Buffalo Sabres,3/18/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tacoma Stars vs. Empire Strykers,3/23/2024 |  accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,accesso ShoWare Center,47.38765995,-122.24000381780328,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South southeast wind 7 to 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Something’s Afoot,3/1/2024 through 3/24/2024 |  The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre,The 5th Avenue Theatre,39.7329068,-75.1300389,"Rain. Cloudy, with a low around 41. East wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
One Thousand Pieces,3/15/2024 through 3/24/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024 |  Burke Museum,Burke Museum,Burke Museum,Burke Museum,47.6605211,-122.31156049949824,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 8 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Montreal Canadiens,3/24/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Anaheim Ducks,3/28/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tim McGraw,3/29/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Harold and the Purple Crayon,3/23/2024 through 3/30/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Monster Jam,3/30/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. Dallas Stars,3/30/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Illuminate: Glass Art for Early Learners,Now through 3/31/2024 |  Museum of Glass,Museum of Glass,Museum of Glass,Museum of Glass,47.24582405,-122.43381971536058,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 54. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024 |  Museum of History & Industry,Museum of History & Industry,Museum of History & Industry,Museum of History & Industry,47.6275114,-122.3367506,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Shine On Seattle,Now through 3/31/2024 |  Pioneer Square,Pioneer Square,Pioneer Square,Pioneer Square,45.5189007,-122.67929660431365,"Rain. Cloudy, with a low around 54. South southeast wind 3 to 7 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
Sanctuary City,3/1/2024 through 3/31/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep,47.6145597,-122.3285576,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Stew,3/15/2024 through 3/31/2024 |  ACT Theatre,ACT Theatre,ACT Theatre,ACT Theatre,47.6108495,-122.3323262,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Luis Miguel,4/4/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Taylor Raven and Duke Kim in Recital,4/4/2024 |  Opera Center,Opera Center,Opera Center,Opera Center,44.43358325,26.079138268508792,Weather data not available
Jo Koy,4/5/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Copland Appalachian Spring,4/4/2024 through 4/6/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Sounders FC vs. CF Montreal,4/6/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Tom Segura,4/6/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024 |  National Nordic Museum,National Nordic Museum,National Nordic Museum,National Nordic Museum,47.6683615,-122.39177949359151,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 13 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Beetlejuice,4/2/2024 through 4/7/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Seattle Kraken vs. Arizona Coyotes,4/9/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Kraken vs. San Jose Sharks,4/11/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Percussion: Sounds from Home,4/12/2024 through 4/13/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,47.6077008,-122.3385575,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Moors,3/22/2024 through 4/14/2024 |  Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,Seattle Public Theater,47.6821341,-122.3398325,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 52. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
Mahler Symphony No. 3,4/11/2024 through 4/14/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Best of the Northwest Spring Show,4/13/2024 through 4/14/2024 |  Magnuson Park,Magnuson Park,Magnuson Park,Magnuson Park,47.6819164,-122.25462087672659,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South southeast wind around 9 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
An Evening with Jinjoo Cho,4/19/2024 |  415 Westlake,415 Westlake,415 Westlake,415 Westlake,47.622554,-122.3386578,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dvorak Symphony No. 6,4/18/2024 through 4/20/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Seasons’ Canon,4/12/2024 through 4/21/2024 |  Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,Marion Oliver McCaw Hall,47.62397705,-122.35038850536958,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
DRUM TAO 30th Anniversary,4/22/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
AJR,4/26/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Disney’s Aladdin,4/24/2024 through 4/28/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Antarctic Symphony,4/25/2024 through 4/28/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Noah Geller’s Playlist,5/3/2024 through 5/4/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Broadway Spectacular,5/4/2024 |  Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center,Cornish Playhouse at Seattle Center,Not Available,Not Available,Weather data not available
Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024 |  Frye Art Museum,Frye Art Museum,Frye Art Museum,Frye Art Museum,47.60719095,-122.32405377084555,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Lion Tells His Tale,5/1/2024 through 5/5/2024 |  Broadway Performance Hall,Broadway Performance Hall,Broadway Performance Hall,Broadway Performance Hall,47.6158151,-122.32186077039998,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Sounders FC vs. LA Galaxy,5/5/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Melanie Martinez,5/10/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024 |  Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,Wing Luke Museum,47.5982461,-122.3228705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024 |  Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,Seattle Art Museum,47.6077008,-122.3385575,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Fat Ham,4/12/2024 through 5/12/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep,47.6145597,-122.3285576,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
A Tale of Peter Rabbit,4/25/2024 through 5/12/2024 |  Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre,Seattle Children's Theatre,47.6204553,-122.35225726215312,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Lehman Trilogy,4/26/2024 through 5/12/2024 |  ACT Theatre,ACT Theatre,ACT Theatre,ACT Theatre,47.6108495,-122.3323262,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Storm vs Minnesota Lynx,5/14/2024 |  Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,Climate Pledge Arena,47.6219014,-122.353990491486,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
