Name,Date,Location,Type,Region,Latitude,Longitude,Weather
Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
The Kills,2/7/2024 |  Showbox SoDo,Showbox SoDo,Showbox SoDo,Showbox SoDo,47.5880461,-122.333928,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Art and Transformation,2/8/2024 |  Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,Bainbridge Island Museum of Art,47.6251322,-122.51453295865404,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 14 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Eric Bellinger,2/8/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Futurebirds and Nude Party,2/8/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,Not Available,Not Available,Weather data not available
Ilana Glazer Live,2/8/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Mister Blank,2/8/2024 |  Nectar Lounge,Nectar Lounge,Nectar Lounge,Nectar Lounge,47.6523876,-122.3538541520202,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
The Thorn,2/8/2024 through 2/9/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Barry Can’t Swim,2/9/2024 |  Neumos,Neumos,Neumos,Neumos,47.613954,-122.3196108,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Dark Star Orchestra,2/9/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Gov’t Mule,2/9/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
Ijeoma Oluo: Be A Revolution,2/9/2024 |  Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,Town Hall Seattle,47.6090191,-122.32993774092222,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Mayer Hawthorne,2/9/2024 |  The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,The Neptune Theatre,Not Available,Not Available,Weather data not available
Moontricks,2/9/2024 |  The Crocodile,The Crocodile,The Crocodile,The Crocodile,47.6146474,-122.3490734,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
OBOE / OBOE,2/9/2024 |  415 Westlake,415 Westlake,415 Westlake,415 Westlake,47.622554,-122.3386578,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 52. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Roots and Wings,2/9/2024 |  Rendezvous JewelBox Theater,Rendezvous JewelBox Theater,Rendezvous JewelBox Theater,Rendezvous JewelBox Theater,47.6146245,-122.3462961,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Seattle Boat Show,2/2/2024 through 2/10/2024 |  Lumen Field,Lumen Field,Lumen Field,Lumen Field,47.5953459,-122.33164431196111,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024 |  Benaroya Hall,Benaroya Hall,Benaroya Hall,Benaroya Hall,47.60811665,-122.33697040702705,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Art by Design,2/9/2024 through 2/10/2024 |  Seattle Design Center,Seattle Design Center,Seattle Design Center,Seattle Design Center,47.55148885,-122.32828666347223,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 100%. New rainfall amounts between a quarter and half of an inch possible."
The Love Show,2/9/2024 through 2/10/2024 |  The Royal Room,The Royal Room,The Royal Room,The Royal Room,32.2275723,-110.9685178,"Partly cloudy, with a low around 44. Southeast wind 9 to 13 mph."
Brazilian Carnaval 2024,2/10/2024 |  The Crocodile,The Crocodile,The Crocodile,The Crocodile,47.6146474,-122.3490734,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Chase Rice,2/10/2024 |  Showbox SoDo,Showbox SoDo,Showbox SoDo,Showbox SoDo,47.5880461,-122.333928,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Joe “Mr. D”  Dombrowski,2/10/2024 |  The Moore Theatre,The Moore Theatre,The Moore Theatre,The Moore Theatre,42.2896932,-83.7207314,"Rain and snow before 3am, then rain showers between 3am and 4am, then snow showers. Cloudy, with a low around 33. North northeast wind around 12 mph, with gusts as high as 21 mph. Chance of precipitation is 100%. New snow accumulation of less than one inch possible."
JVNA,2/10/2024 |  The Showbox,The Showbox,The Showbox,The Showbox,47.6085136,-122.3394726,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
Linda From Work,2/10/2024 |  Barboza,Barboza,Barboza,Barboza,-13.248885,-41.0275842,Weather data not available
The Brother Brothers,2/10/2024 |  Tractor Tavern,Tractor Tavern,Tractor Tavern,Tractor Tavern,47.6657081,-122.38280295082915,"Rain before midnight, then rain and patchy fog. Cloudy, with a low around 53. South wind around 10 mph. Chance of precipitation is 90%. New rainfall amounts between a tenth and quarter of an inch possible."
The Temptations &  The Four Tops,2/10/2024 |  The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,The Paramount Theatre,40.8697559,-73.42561952873208,"Rain. Cloudy, with a low around 37. East wind 5 to 8 mph. Chance of precipitation is 100%. New rainfall amounts between a tenth and quarter of an inch possible."
Quixote Nuevo,Now through 2/11/2024 |  Seattle Rep,Seattle Rep,Seattle Rep,Seattle Rep,47.6145597,-122.3285576,"Rain before 1am, then rain and patchy fog. Cloudy, with a low around 53. South wind around 9 mph. Chance of precipitation is 90%. New rainfall amounts between a quarter and half of an inch possible."
